#    data from: http://www.heweather.com/documents/cn-city-list
#
#        #!/usr/bin/env python
#        # -*- coding: utf-8 -*-
#
#        import itertools
#        import pypinyin
#        from pypinyin import pinyin
#
#
#        with open('city.data') as f:
#            for line in f:
#                line = line.strip().decode('utf-8')
#                (_id, county, ccounty, city, province) = line.split(' ')
#                k = pinyin(ccounty, style=pypinyin.NORMAL, heteronym=True)
#                abbr = None
#                for t in itertools.product(*k):
#                    py = "".join(t)
#                    if py == county:
#                        abbr = "".join([x[0] for x in t])
#                        break
#                abbr = (abbr is None and ['---'] or [abbr])[0]
#
#                data = _id, abbr, county, ccounty, city, province #                print " ".join(data).encode('utf-8')
CN101080504 kzhq kezuohouqi 科左后旗 通辽 内蒙古
CN101080505 qls qinglongshan 青龙山 通辽 内蒙古
CN101080506 kl kailu 开鲁 通辽 内蒙古
CN101080507 kl kulun 库伦 通辽 内蒙古
CN101080508 nm naiman 奈曼 通辽 内蒙古
CN101080509 zlt zhalute 扎鲁特 通辽 内蒙古
CN101080510 glb gaoliban 高力板 兴安盟 内蒙古
CN101080511 byeths bayaertuhushuo 巴雅尔吐胡硕 通辽 内蒙古
CN101080601 cf chifeng 赤峰 赤峰 内蒙古
CN101080603 alq aluqi 阿鲁旗 赤峰 内蒙古
CN101080604 het haoertu 浩尔吐 赤峰 内蒙古
CN101080605 blzq balinzuoqi 巴林左旗 赤峰 内蒙古
CN101080606 blyq balinyouqi 巴林右旗 赤峰 内蒙古
CN101080607 lx linxi 林西 赤峰 内蒙古
CN101080608 kskt keshiketeng 克什克腾 赤峰 内蒙古
CN101080609 wnt wengniute 翁牛特 赤峰 内蒙古
CN101080610 gz gangzi 岗子 赤峰 内蒙古
CN101080611 klq kalaqin 喀喇沁 赤峰 内蒙古
CN101080612 blh balihan 八里罕 赤峰 内蒙古
CN101080613 nc ningcheng 宁城 赤峰 内蒙古
CN101080614 ah aohan 敖汉 赤峰 内蒙古
CN101080615 bgt baoguotu 宝国吐 赤峰 内蒙古
CN101080701 eeds eerduosi 鄂尔多斯 鄂尔多斯 内蒙古
CN101080703 dlt dalate 达拉特 鄂尔多斯 内蒙古
CN101080704 zge zhungeer 准格尔 鄂尔多斯 内蒙古
CN101080705 eqq eqianqi 鄂前旗 鄂尔多斯 内蒙古
CN101080706 hn henan 河南 鄂尔多斯 内蒙古
CN101080707 ykws yikewusu 伊克乌素 鄂尔多斯 内蒙古
CN101080708 etk etuoke 鄂托克 鄂尔多斯 内蒙古
CN101080709 hjq hangjinqi 杭锦旗 鄂尔多斯 内蒙古
CN101080710 wsq wushenqi 乌审旗 鄂尔多斯 内蒙古
CN101080711 yjhl yijinhuoluo 伊金霍洛 鄂尔多斯 内蒙古
CN101080712 wsz wushenzhao 乌审召 鄂尔多斯 内蒙古
CN101080713 ds dongsheng 东胜 鄂尔多斯 内蒙古
CN101080801 lh linhe 临河 巴彦淖尔 内蒙古
CN101080802 wy wuyuan 五原 巴彦淖尔 内蒙古
CN101080803 dk dengkou 磴口 巴彦淖尔 内蒙古
CN101080804 wqq wuqianqi 乌前旗 巴彦淖尔 内蒙古
CN101080805 dst dashetai 大佘太 巴彦淖尔 内蒙古
CN101080806 wzq wuzhongqi 乌中旗 巴彦淖尔 内蒙古
CN101080807 whq wuhouqi 乌后旗 巴彦淖尔 内蒙古
CN101080808 hls hailisu 海力素 巴彦淖尔 内蒙古
CN101080809 nrblg narenbaolige 那仁宝力格 巴彦淖尔 内蒙古
CN101080810 hjhq hangjinhouqi 杭锦后旗 巴彦淖尔 内蒙古
CN101080901 xlht xilinhaote 锡林浩特 锡林郭勒 内蒙古
CN101080903 elht erlianhaote 二连浩特 锡林郭勒 内蒙古
CN101080904 abg abaga 阿巴嘎 锡林郭勒 内蒙古
CN101080906 szq suzuoqi 苏左旗 锡林郭勒 内蒙古
